Manufacturer,Price,Body Style,Fuel Efficiency,Engine Volume,Powertrain,License Status,Manufacture Year,Variant,Location,Distance Covered,Gearbox,Owner_Type
BMW,39700.0,sedan,231,2.5,Petrol,yes,1990,525,marrakech,70704,Manual,First
Mercedes-Benz,147500.0,sedan,317,5.0,Petrol,yes,2001,S 500,mekness,65650,Manual,First
BMW,90300.0,sedan,197,3.0,Petrol,yes,2001,530,oujda,93700,Manual,First
BMW,525900.0,crossover,178,4.0,Diesel,yes,2012,X5,tanger,72465,Manual,First
Audi,400500.0,crossover,115,3.0,Diesel,yes,2010,Q7,sefrou,34000,Manual,First
Renault,22650.0,vagon,199,1.9,Diesel,no,2003,Laguna,hosseima,89230,Manual,First
Volkswagen,96900.0,van,169,1.9,Diesel,yes,2008,Caddy,tetouan,38127,Manual,First
Volkswagen,118900.0,other,287,2.5,Other,yes,2004,T5 (Transporter),oujda,43000,Automatic,First
Volkswagen,,van,162,2.0,Diesel,yes,2011,T5 (Transporter) ,tanger,18385,Automatic,First
BMW,164000.0,vagon,245,3.0,Gas,yes,2006,530,rabat,73000,Manual,First
Audi,162000.0,sedan,38,,Diesel,no,2015,A5,marrakech,49000,Automatic,Second
Volkswagen,230000.0,other,93,2.0,Diesel,yes,2012,Passat B7,oujda,85000,Automatic,First
Volkswagen,54200.0,vagon,248,2.0,Diesel,no,2005,Passat B6,rabat,103000,Automatic,Second
Volkswagen,122950.0,van,140,2.0,Diesel,yes,2010,Caddy,rabat,90000,Manual,Second
Mercedes-Benz,,other,22,3.0,Diesel,yes,2015,S 350,oujda,73670,Manual,First
Mercedes-Benz,67200.0,sedan,221,1.8,Gas,yes,2004,E-Class,rabat,67196,Manual,First
BMW,137600.0,sedan,219,3.6,Petrol,yes,2002,735,Casablanca,21000,Manual,First
Mercedes-Benz,235500.0,sedan,159,1.8,Gas,yes,2012,E-Class,tetouan,26008,Manual,First
Mercedes-Benz,240989.0,sedan,200,3.0,Diesel,yes,2008,E-Class,oujda,68776,Manual,First
Volkswagen,164000.0,van,230,2.5,Diesel,yes,2007,T5 (Transporter),oujda,92000,Manual,First
Mercedes-Benz,43000.0,crossover,287,4.0,Diesel,no,2003,ML 400,tanger,103905,Automatic,First
Toyota,365663.0,vagon,73,4.0,Gas,yes,2009,FJ Cruiser,sefrou,13500,Manual,First
Mitsubishi,217000.0,crossover,135,2.5,Diesel,yes,2011,Pajero Sport,agadir,82002,Manual,Second
BMW,145300.0,vagon,157,2.0,Diesel,yes,2007,520,Casablanca,8000,Automatic,First
Mercedes-Benz,46300.0,sedan,280,1.8,Petrol,yes,1993,C-Class,oujda,83165,Manual,First
Renault,54000.0,vagon,34,1.5,Diesel,yes,2013,Logan,hosseima,8587,Manual,First
Volkswagen,90300.0,other,151,2.0,Petrol,yes,2005,T5 (Transporter),tanger,56661,Manual,First
Mercedes-Benz,138700.0,van,193,2.2,Diesel,yes,2011,Vito,agadir,26000,Manual,First
Renault,265130.15,van,1,1.6,Diesel,yes,2015,Trafic,tanger,33218,Manual,First
Volkswagen,26489.0,sedan,220,1.9,Diesel,no,2004,Passat B5,tanger,44282,Manual,First
Volkswagen,74900.0,sedan,160,1.6,Petrol,yes,2003,Bora,tanger,52383,Manual,First
Volkswagen,65000.0,hatch,195,1.2,Gas,yes,2004,Polo,tanger,44178,Manual,First
Toyota,123300.0,hatch,87,1.0,Petrol,yes,2009,IQ,rabat,88000,Manual,First
Volkswagen,152945.0,van,147,1.6,Diesel,yes,2013,Touran,marrakech,14000,Automatic,First
Audi,23950.0,vagon,240,2.5,Diesel,no,2000,A4,oujda,102000,Automatic,Second
Mercedes-Benz,92500.0,sedan,388,4.3,Gas,yes,2000,S 430,tanger,37287,Manual,First
Mercedes-Benz,222300.0,sedan,198,1.8,Gas,yes,2011,E-Class,hosseima,61823,Manual,First
Audi,35500.0,sedan,265,2.0,Diesel,yes,1986,100,tetouan,21000,Manual,Second
Mercedes-Benz,173900.0,vagon,219,3.0,Diesel,yes,2007,E-Class,oujda,73336,Automatic,First
Renault,109000.0,other,214,2.5,Diesel,yes,2008,Master,tanger,20826,Automatic,First
Mercedes-Benz,28150.0,sedan,30,2.3,Gas,yes,1985,230,oujda,104000,Automatic,First
Mercedes-Benz,351000.0,van,255,3.0,Diesel,yes,2008,Sprinter 318,mekness,10000,Automatic,First
Volkswagen,57300.0,vagon,259,1.6,Gas,yes,1995,Passat B4,oujda,72566,Manual,First
Toyota,300400.0,crossover,52,3.5,Gas,yes,2012,Venza,hosseima,74325,Manual,First
BMW,248700.0,crossover,216,4.8,Petrol,yes,2007,X5,dakhla,1000,Manual,First
